,Name,Year,Duration,Rated,Score,Metascore
412,. Cast Away,2000,2h 23m,PG-13,7.8,74
413,. Brokeback Mountain,2005,2h 14m,R,7.7,87
414,. The Fast and the Furious,2001,1h 46m,PG-13,6.8,58
415,. Bohemian Rhapsody,2018,2h 14m,PG-13,7.9,49
416,. The Lighthouse,2019,1h 49m,R,7.4,83
417,. The Lion King,2019,1h 58m,PG,6.8,55
418,. Dumb Money,2023,1h 45m,R,6.9,66
419,. Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,PG-13,7.6,68
420,. Red Eye,2005,1h 25m,PG-13,6.5,71
421,. Old Henry,2021,1h 39m,Not Rated,7.2,69
422,. A Haunting in Venice,2023,1h 43m,PG-13,6.5,63
423,. Infinity Pool,2023,1h 57m,R,6.0,72
424,. Vicky Cristina Barcelona,2008,1h 36m,PG-13,7.1,70
425,. The Hunt,2012,1h 55m,R,8.3,77
426,. Lady Bird,2017,1h 34m,R,7.4,93
427,. 500 Days of Summer,2009,1h 35m,PG-13,7.7,76
428,. The Hunt,2020,1h 30m,R,6.6,50
429,. The Surfer,2024,1h 39m,No,6.9,69
430,. Old,2021,1h 48m,PG-13,5.8,55
431,. The Strangers: Prey at Night,2018,1h 25m,R,5.3,48
432,. Baghead,2023,1h 34m,No,5.4,51
433,. Irreversible,2002,1h 37m,Not Rated,7.3,51
434,. Nobody,2021,1h 32m,R,7.4,64
435,. The Snowman,2017,1h 59m,R,5.2,23
436,. Cruella,2021,2h 14m,PG-13,7.3,59
437,. Man of Steel,2013,2h 23m,PG-13,7.1,55
438,. Taken,2008,1h 30m,PG-13,7.7,51
439,. Sisu,2022,1h 31m,R,6.9,70
440,. The Tomorrow War,2021,2h 18m,PG-13,6.6,45
441,. Bridesmaids,2011,2h 5m,R,6.8,75
442,. Star Trek,2009,2h 7m,PG-13,7.9,82
443,. Brothers,2009,1h 45m,R,7.1,58
444,. Super Size Me,2004,1h 40m,PG-13,7.2,73
445,. The Rover,2014,1h 43m,R,6.4,64
446,. Kingsman: The Secret Service,2014,2h 9m,R,7.7,60
447,. Scoop,2024,1h 42m,TV-14,6.5,63
448,. The Favourite,2018,1h 59m,R,7.5,91
449,. Jim Henson: Idea Man,2024,1h 51m,No,7.9,69
450,. Lie with Me,2005,1h 33m,Not Rated,5.2,0
451,. Pirates of the Caribbean: Dead Man's Chest,2006,2h 31m,PG-13,7.4,53
452,. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1,85
453,. That's My Boy,2012,1h 56m,R,5.5,31
454,. The Whale,2022,1h 57m,R,7.7,60
455,. The King's Man,2021,2h 11m,R,6.3,44
456,. Source Code,2011,1h 33m,PG-13,7.5,74
457,. Malena,2000,1h 48m,R,7.4,54
458,. Margin Call,2011,1h 47m,R,7.1,76
459,. The Social Network,2010,2h,PG-13,7.8,95
460,. Watchmen,2009,2h 42m,R,7.6,56
461,. The Irishman,2019,3h 29m,R,7.8,94
462,. Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4,87
463,. The Last Voyage of the Demeter,2023,1h 58m,R,6.1,52
464,. Atonement,2007,2h 3m,R,7.8,85
465,. The Longest Ride,2015,2h 3m,PG-13,7.0,33
466,. Zootopia,2016,1h 48m,PG,8.0,78
